Event_ID,Date,Ticker_or_Topic,News_Snippet,Source_URL,Market_Session
R011,2025-12-16,US_UNEMPLOYMENT,"Unemployment reaches a four-year high despite continued job gains, highlighting labor market contradictions","https://www.ft.com/content/17a1674d-0e6b-4e9b-9c0d-82de5887be15",T
R012,2025-10-21,NFLX,"Netflix misses earnings expectations, citing a tax dispute despite strong revenue growth","https://apnews.com/article/d01068a2087446893a662a9a6d3680eb",T
R013,2025-10-22,GLOBAL_MARKETS,"Global markets slip as earnings optimism fades and gold prices weaken","https://www.reuters.com/world/china/global-markets-wrapup-1-2025-10-22/",T
R014,2025-11-08,US_MARKETS,"Wall Street ends higher as solid earnings offset weak jobs data and tariff uncertainty","https://www.reuters.com/business/sp-500-nasdaq-futures-slip-valuation-concerns-linger-2025-11-05/",T
R015,2025-11-20,GLOBAL_MARKETS,"Global stocks trade mixed as auto sector gains contrast with weaker tech earnings","https://www.reuters.com/world/china/global-markets-wrapup-1-pix-2025-11-20/",T
R016,2025-12-24,US_MARKETS_OUTLOOK,"U.S. stocks seen driven by AI investment and earnings growth, though geopolitical risks remain","https://www.reuters.com/business/ai-spending-strong-corporate-profits-fed-rate-cuts-seen-key-2026-stock-market-2025-12-24/",T+1
R018,2025-10-22,GOLD_MARKET,"Gold prices extend declines as investors assess earnings and inflation outlook","https://www.reuters.com/business/finance/global-markets-view-usa-2025-10-22/",T
R020,2025-11-17,FED_POLICY,"Federal Reserve policymakers split on how to interpret mixed labor market signals","https://www.reuters.com/business/us-job-growth-beats-expectations-september-unemployment-rate-rises-44-2025-11-20/",T
R022,2025-10-28,TEMENOS,"Temenos raises outlook after profit beat, but leadership uncertainty weighs on shares","https://www.reuters.com/business/temenos-raises-guidance-q3-profit-beats-market-expectations-2025-10-28/",T+1
R023,2025-11-04,TRI,"Thomson Reuters reports higher revenue and reaffirms guidance, but shares lag the broader market","https://www.reuters.com/business/thomson-reuters-reports-higher-third-quarter-revenue-2025-11-04/",T
R024,2025-12-15,US_MARKETS,"U.S. markets rotate as tech stocks fall sharply while easing yields lift other sectors","https://www.reuters.com/business/finance/global-markets-view-usa-2025-12-15/",T
R025,2025-12-10,FOMC_RATE,"Stocks rise after Fed cuts rates as expected, though Powell signals caution on future easing","https://www.reuters.com/business/view-divided-fed-cuts-rates-expected-sees-only-one-reduction-2026-2025-12-10/",T
R026,2025-10-23,BANKINTER,"Bankinter trims net interest income outlook as lower rates bite, partially offset by fee growth","https://www.reuters.com/business/finance/bankinter-trims-guidance-2025-net-interest-income-outlook-2025-10-23/",T
R027,2025-11-07,DTG,"Daimler Truck posts sharp profit drop but beats operating profit expectations and maintains guidance","https://www.reuters.com/business/daimler-truck-posts-40-drop-quarterly-profit-keeps-annual-forecasts-2025-11-07/",T+1
R028,2025-12-15,IRON_ORE_MARKET,"China presses miners for better iron ore contracts, but supply expansion limits impact","https://www.reuters.com/world/china/inside-beijings-bid-tame-global-iron-ore-market-2025-12-28/",T+1
R030,2025-12-17,US_LABOR,"U.S. labor data shows slowing hiring and rising unemployment, complicating policy signals","https://www.reuters.com/markets/econ-world/move-over-r-star-puzzling-us-jobs-data-shines-light-u-star-2025-12-17/",T
R031,2025-10-22,US_MARKETS,"U.S. stocks close mixed as earnings lift some sectors while others lag","https://www.reuters.com/business/wall-st-futures-pause-earnings-season-gains-momentum-2025-10-21/",T
R032,2025-11-20,NVDA,"Nvidia earnings beat expectations but mixed investor reaction fuels broader market unease","https://www.reuters.com/markets/us/nvidia-beat-may-yet-stir-fear-street-2025-11-20/",T+1
R033,2025-12-12,US_MARKETS_COMMENTARY,"Commentary questions reliability of corporate earnings 'beats' amid data inconsistencies","https://www.reuters.com/markets/us/wall-street-beats-are-more-show-than-science-fridson-2025-12-12/",T
R034,2025-12-31,USD_MARKET,"U.S. dollar ends year sharply lower amid mixed global currency and Fed policy signals","https://www.reuters.com/world/asia-pacific/dollar-dismal-yen-muted-2025-euro-sterling-shine-2025-12-31/",T+1
R035,2025-11-13,ALLIANZ,"Allianz raises earnings guidance after strong performance, though timing of reports weighs on sentiment","https://www.reuters.com/business/allianz-ups-2025-guidance-after-strong-nine-month-performance-2025-11-13/",T
R037,2025-12-15,AI_ECONOMY,"Businesses struggle to realize near-term gains from AI investments despite long-term optimism","https://www.reuters.com/business/business-leaders-agree-ai-is-future-they-just-wish-it-worked-right-now-2025-12-16/",T
R038,2025-12-29,GLOBAL_MARKETS_RECAP,"Year-end review highlights tariff disruptions and mixed currency returns across markets","https://www.reuters.com/markets/us/global-markets-retrospective-roi-column-pix-graphics-2025-12-29/",T+1

